"","zip","FDID","name","address","city","state","location","latitude","longitude","geometry"
"135","92314","36040","Big Bear City Fire Department","301 W Big Bear BLVD","Big Bear City","CA","301 W Big Bear BLVD Big Bear City, CA 92314",34.255388,-116.85442,c(-116.85442, 34.255388)
"136","92314","36250","Baldwin Lake Volunteer Fire Department","45360 Lucky Baldwin Ranch RD","Baldwin Lake","CA","45360 Lucky Baldwin Ranch RD Baldwin Lake, CA 92314",34.255388,-116.85442,c(-116.85442, 34.255388)
"137","92315","36045","Big Bear Lake Fire Protection District","41090 Big Bear BLVD","Big Bear Lake","CA","41090 Big Bear BLVD Big Bear Lake, CA 92315",34.241295,-116.90328,c(-116.90328, 34.241295)
"138","92324","36065","City of Colton Fire Department","303 E 'E' ST","Colton","CA","303 E 'E' ST Colton, CA 92324",34.061931,-117.31995,c(-117.31995, 34.061931)
"139","92325","36070","Crest Forest Fire Protection District","23407 Crest Forest DR","Crestline","CA","23407 Crest Forest DR Crestline, CA 92325",34.242567,-117.28654,c(-117.28654, 34.242567)
"140","92327","36080","Daggett Volunteer Fire Department","33702  2nd  ST","Daggett","CA","33702  2nd  ST Daggett, CA 92327",34.866837,-116.86379,c(-116.86379, 34.866837)
"141","92328","14017","Death Valley National Park","PO Box 579","Death Valley","CA","PO Box 579 Death Valley, CA 92328",35.945641,-117.20296,c(-117.20296, 35.945641)
"142","92346","36199","San Manuel Band of Mission Indians Fire Department","26540 Indian Service RD","Highland","CA","26540 Indian Service RD Highland, CA 92346",34.12716,-117.20073,c(-117.20073, 34.12716)
"143","92346","36107","Highland Fire Department","27215 Base Line","Highland","CA","27215 Base Line Highland, CA 92346",34.12716,-117.20073,c(-117.20073, 34.12716)
"144","92354","36125","Loma Linda Fire Department","25541 Barton RD","Loma Linda","CA","25541 Barton RD Loma Linda, CA 92354",34.050764,-117.25327,c(-117.25327, 34.050764)
"145","92365","36165","Newberry Springs Fire Department","30884 Newberry Rd","Newberry Springs","CA","30884 Newberry Rd Newberry Springs, CA 92365",34.896333,-116.63644,c(-116.63644, 34.896333)
"146","92369","36412","Patton State Hospital Fire Department","3102 E Highland AVE","Patton","CA","3102 E Highland AVE Patton, CA 92369",34.839964,-115.967051,c(-115.967051, 34.839964)
"147","92373","36180","City of Redlands Fire Department","35 Cajon ST STE 12","Redlands","CA","35 Cajon ST STE 12 Redlands, CA 92373",34.034714,-117.17305,c(-117.17305, 34.034714)
"148","92376","36185","Rialto Fire Department","131 S Willow AVE","Rialto","CA","131 S Willow AVE Rialto, CA 92376",34.109511,-117.37617,c(-117.37617, 34.109511)
"149","92382","36190","Running Springs Fire Department","31250 Hilltop  BLVD","Running Springs","CA","31250 Hilltop  BLVD Running Springs, CA 92382",34.205626,-117.10499,c(-117.10499, 34.205626)
"150","92382","36025","Arrowbear Lake Fire Department","33045 Highway 18","Arrowbear Lake","CA","33045 Highway 18 Arrowbear Lake, CA 92382",34.205626,-117.10499,c(-117.10499, 34.205626)
"151","92389","14042","Southern Inyo Fire Protection District","410 Tecopa Hot Springs RD","Tecopa","CA","410 Tecopa Hot Springs RD Tecopa, CA 92389",35.848556,-116.22627,c(-116.22627, 35.848556)
"152","92393","36220","Victorville Fire Department","14343 Civic DR","Victorville","CA","14343 Civic DR Victorville, CA 92393",34.839964,-115.967051,c(-115.967051, 34.839964)
"153","92398","36230","Yermo-Calico Fire Department","38321 Yermo RD","Yermo","CA","38321 Yermo RD Yermo, CA 92398",34.909491,-116.84058,c(-116.84058, 34.909491)
